1,1,10,20
2,2,20,0
3,3,12,30
4,4,16,0
5,5,9,10
6,6,8,0
7,7,18,30
8,8,14,10
9,9,14,20
10,10,17,20
11,11,10,0
12,12,20,30
13,13,12,0
14,14,16,10
15,15,9,0
16,16,8,30
17,17,18,10
18,18,14,20
19,19,14,20
20,20,17,0
21,21,10,30
22,22,20,0
23,23,12,10
24,24,16,0
25,25,9,30
26,26,8,10
27,27,18,20
28,28,14,20
29,29,14,0
30,30,17,30
31,31,10,0
32,32,20,10
33,33,12,0
34,34,16,30
35,35,9,10
36,36,8,20
37,37,18,20
38,38,14,0
39,39,14,30
40,40,17,0
42,42,10,10
43,43,20,0
44,44,12,30
45,45,16,10
46,46,9,20
47,47,8,30
48,48,18,10
